url_route,live_http_status,live_page_specific_gravity_form_ids,live_all_gravity_form_ids,live_site_chrome_gravity_form_ids,app_page_file,form_components,submission_or_behavior,notes
"/connect/","200","10","10,44,86","44,86","frontend/app/(site)/connect/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 8","Headless fetches GF 8; live WordPress sampled GF 10 for main content (plus sitewide 44, 86)."
"/broker-contact-page/","200","56","44,56,86","44,86","frontend/app/(site)/broker-contact-page/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 30","Headless GF 30; live sample had GF 56 plus sitewide 44, 86."
"/existinglead/","200","13","13,44,86","44,86","frontend/app/(site)/existinglead/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 11","Headless GF 11; live sample had GF 13 plus sitewide 44, 86."
"/find-an-agent/","404","","44,86","44,86","frontend/app/(site)/find-an-agent/page.tsx","GravityForm (via FindAgentContent)","WPGraphQL submitGfForm; form database ID 26","Live URL 404 (Apr 2026); no page-level GF. Headless uses GF 26 when page exists."
"/contact/","200","1","1,44,86","44,86","frontend/app/(site)/contact/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 1","Matches live GF 1; sitewide 44, 86 on sampled pages."
"/valspar/","200","69","44,69,86","44,86","frontend/app/(site)/valspar/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 37 (VALSPAR_FORM_ID in gf-client.ts)","Headless GF 37; live sample had GF 69 plus sitewide 44, 86."
"/worksite/lead/","200","14","14,44,86","44,86","frontend/app/(site)/worksite/lead/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 12 (WORKSITE_LEAD_FORM_ID in gf-client.ts)","Headless GF 12; live sample had GF 14 plus sitewide 44, 86."
"/state-specific-privacy-addendum-request/","200","89","44,86,89","44,86","frontend/app/(bare)/state-specific-privacy-addendum-request/page.tsx","GravityForm","WPGraphQL submitGfForm; form database ID 57 (PRIVACY_ADDENDUM_REQUEST_FORM_ID in gf-client.ts)","Headless GF 57; live sample had GF 89 plus sitewide 44, 86."
"/:locationSlug/ (agency locations only)","","63; 63+98 (varies by page)","","","frontend/app/(site)/[...slug]/page.tsx → LocationPageTemplate","GravityForm (via ConnectAgentBanner)","WPGraphQL submitGfForm; form ID from resolveConnectFormId(location)","Live samples (alabama, georgia, dallas): GF 63 and 98; florida/texas: GF 63 only. Sitewide 44+86 on all. See docs/form-pages-live-gf-ids.csv and docs/gf-form-mapping.csv."
"(all site routes)","","","","","frontend/app/components/layout/LayoutShell.tsx → SiteHeader","HeaderSearch","GET navigation to /search?q=…","Not Gravity Forms."
"(component not mounted on any page)","","","","","frontend/app/components/contact/ContactConnectAgentForm.tsx","ContactConnectAgentForm","Client-side; onSubmit preventDefault (placeholder)","Defined in codebase but no page imports this component as of inventory date."
